Number,Nombre,Apellidos,Area,Num_Publicaciones,Publicacion,Extra
12,Laura,Aguilera Ávila,Trabajo Social y Servicios Sociales,0,,
0,Silvia,Alonso Pérez,Ingeniería Eléctrica,1,Calima y salud laboral en Canarias. Guía para docentesEditorial Científico Técnica Ocronos,
14,Carmen,Ascanio Sánchez,Sociología,0,,
15,Carmen Marina,Barreto Vargas,Antropología Social,0,,
16,Inmaculada,Blasco Herranz,Historia Contemporánea,0,,
17,María de África,Borges del Rosal,Metodología de las Ciencias del Comportamiento,0,,
18,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,0,,
1,Dulce María,Cairós Barreto,Derecho del Trabajo y de la Seguridad Social,1,Cambio climático y derecho del trabajo: conceptualización y régimen jurídicodir.Aranzadi,
20,María Aránzazu,Calzadilla Medina,Derecho Civil,0,,
21,Bernardo Antonio,Candela Sanjuan,Dibujo,0,,
22,Luis Javier,Capote Pérez,Derecho Civil,0,,
23,Lara,Carrascosa Puertas,Periodismo,0,,
24,Esperanza María,Ceballos Vacas,Métodos de Investigación y Diagnóstico en Educación,0,,
25,María José,Chivite de León,Filología Inglesa,0,,
26,Noemi,Cinelli,Historia del Arte,0,,
27,Olegaria del Pino,Cuesta Ojeda,Sociología,0,,
19,Celsa María,Cáceres Rodríguez,Trabajo Social y Servicios Sociales,0,,
28,Lucía,Dans Álvarez de Sotomayor,Derecho del Trabajo y de la Seguridad Social,0,,
29,Eva Rosa,Darias Beautell,Filología Inglesa,0,,
30,Coral Anaid,Díaz Cano,Filología Inglesa,0,,
2,Cristian,Díaz Hernández,Sociología,1,Guía sobre pornografía para profesionales y mediadores juvenilesAPLEC Inclusión más Igualdad,
31,Matilde Candelaria,Díaz Hernández,Psicología Social,0,,
3,Betty Coromoto,Estévez Cedeño,Sociología,1,"En defensa de los derechos humanos: riesgos, oportunidades y desafíoscoord.Dykinson",
32,Inmaculada Sandra,Fumero Dios,Derecho del Trabajo y de la Seguridad Social,0,,
33,Natividad,Garrido Rodríguez,Lógica y Filosofía de la Ciencia,0,,
34,Laura Sabina,González Carracedo,Historia Moderna,0,,
36,Dulce María,González Doreste,Filología Francesa,0,,
35,Isabel,González Díaz,Filología Inglesa,0,,
37,Carina Soledad,González González,Arquitectura y Tecnología de Computadores,0,,
38,Teresa,González Pérez,Teoría e Historia de la Educación,0,,
4,María José,Guerra Palmero,Filosofía Moral,1,"En defensa de los derechos humanos: riesgos, oportunidades y desafíoscoord.Dykinson",
39,Judit,Gutiérrez de Armas,Historia Moderna,0,,
40,Rosa María,Henríquez Rodríguez,Sociología,0,,
5,Débora Estefanía,Hernández Lorenzo,Trabajo Social y Servicios Sociales,1,Guía sobre pornografía para profesionales y mediadores juvenilesAPLEC Inclusión más Igualdad,
41,José Ulises,Hernández Plasencia,Derecho Penal,0,,
6,María Beatriz,Hernández Pérez,Filología Inglesa,1,"Anthony Munday: The first book of primaleon of Greece: A critical editionDe Gruyter, pp. 1-366",
7,Marta Esther,Jiménez Jaén,Sociología,1,Hacer historia: el Archivo de la Transición Democráticaen Canarias de la Biblioteca de la ULLcoord.Servicio de Publicaciones,
43,María del Carmen,Marrero Marrero,Filología Francesa,0,,
44,Adriana Fabiola,Martín Cáceres,Derecho Financiero y Tributario,0,,
45,Matilde,Martín González,Filología Inglesa,0,,
46,María del Pilar Socorro,Matud Aznar,"Personalidad, Evaluación y Tratamiento Psicológico",0,,
47,Laura María,Melián Chinea,Derecho del Trabajo y de la Seguridad Social,0,,
48,Jezabel Miriam,Molina Gil,Ciencia de la Computación e Inteligencia Artificial,0,,
49,María Eugenia,Monzón Perdomo,Historia Moderna,0,,
42,Coromoto León,N/A,Lenguajes y Sistemas Informáticos,0,,
50,Yolanda,Peralta Sierra,Historia del Arte,0,,
51,María Inmaculada,Perdomo Reyes,Lógica y Filosofía de la Ciencia,0,,
52,Grecy,Pérez Amores,Antropología Social,0,,
53,Elisa Juana,Pérez Rosales,Teoría e Historia de la Educación,0,,
54,José Antonio,Ramos Arteaga,Literatura Española,0,,
55,Margarita Isabel,Ramos Quintana,Derecho del Trabajo y de la Seguridad Social,0,,
56,Nereida María,Rancel Rodríguez,Botánica,0,,
57,Elvira Carolina,Real Torres,Filología Latina,0,,
8,Rodrigo Fidel,Rodríguez Borges,Comunicación Audiovisual y Publicidad,2,Tratamiento ético de la inmigración en los mediosTecnos,
9,Rodrigo Fidel,Rodríguez Borges,Comunicación Audiovisual y Publicidad,2,Vulnerabilidad y comunicación social : Fragilidad humana en la esfera públicacoord.Tecnos,
58,Juan José,Rodríguez Bravo de Laguna,Derecho del Trabajo y de la Seguridad Social,0,,
10,Sarai,Rodríguez González,Derecho del Trabajo y de la Seguridad Social,1,La redimensión de la salud laboral con perspectiva de génerodir.Atelier Llibres Jurídics,
59,Elena,Rodríguez Naveiras,Metodología de las Ciencias del Comportamiento,0,,
11,Gloria Pilar,Rojas Rivero,Derecho del Trabajo y de la Seguridad Social,1,"Las ""mareas"" de la igualdad en el Derecho del Trabajo y de la Seguridad Socialdir.Bomarzo",
60,María del Carmen,Rubio Armendáriz,Toxicología,0,,
13,Casilda,Álvarez Siverio,Filología Griega,0,,
