Nombre Completo,Área
Laura Aguilera Ávila,Trabajo Social y Servicios Sociales
Silvia Alonso Pérez,Ingeniería Eléctrica
Carmen Ascanio Sánchez,Sociología
Carmen Marina Barreto Vargas,Antropología Social
Inmaculada Blasco Herranz,Historia Contemporánea
María de África Borges del Rosal,Metodología de las Ciencias del Comportamiento
Pino Teresa Caballero Gil,Ciencia de la Computación e Inteligencia Artificial
Dulce María Cairós Barreto,Derecho del Trabajo y de la Seguridad Social
María Aránzazu Calzadilla Medina,Derecho Civil
Bernardo Antonio Candela Sanjuan,Dibujo
Luis Javier Capote Pérez,Derecho Civil
Lara Carrascosa Puertas,Periodismo
Esperanza María Ceballos Vacas,Métodos de Investigación y Diagnóstico en Educación
María José Chivite de León,Filología Inglesa
Noemi Cinelli,Historia del Arte
Olegaria del Pino Cuesta Ojeda,Sociología
Celsa María Cáceres Rodríguez,Trabajo Social y Servicios Sociales
Lucía Dans Álvarez de Sotomayor,Derecho del Trabajo y de la Seguridad Social
Eva Rosa Darias Beautell,Filología Inglesa
Coral Anaid Díaz Cano,Filología Inglesa
Cristian Díaz Hernández,Sociología
Matilde Candelaria Díaz Hernández,Psicología Social
Betty Coromoto Estévez Cedeño,Sociología
Inmaculada Sandra Fumero Dios,Derecho del Trabajo y de la Seguridad Social
Natividad Garrido Rodríguez,Lógica y Filosofía de la Ciencia
Laura Sabina González Carracedo,Historia Moderna
Dulce María González Doreste,Filología Francesa
Isabel González Díaz,Filología Inglesa
Carina Soledad González González,Arquitectura y Tecnología de Computadores
Teresa González Pérez,Teoría e Historia de la Educación
María José Guerra Palmero,Filosofía Moral
Judit Gutiérrez de Armas,Historia Moderna
Rosa María Henríquez Rodríguez,Sociología
Débora Estefanía Hernández Lorenzo,Trabajo Social y Servicios Sociales
José Ulises Hernández Plasencia,Derecho Penal
María Beatriz Hernández Pérez,Filología Inglesa
Marta Esther Jiménez Jaén,Sociología
María del Carmen Marrero Marrero,Filología Francesa
Adriana Fabiola Martín Cáceres,Derecho Financiero y Tributario
Matilde Martín González,Filología Inglesa
María del Pilar Socorro Matud Aznar,Personalidad Evaluación y Tratamiento Psicológico
Laura María Melián Chinea,Derecho del Trabajo y de la Seguridad Social
Jezabel Miriam Molina Gil,Ciencia de la Computación e Inteligencia Artificial
María Eugenia Monzón Perdomo,Historia Moderna
Coromoto León,N/A
Yolanda Peralta Sierra,Historia del Arte
María Inmaculada Perdomo Reyes,Lógica y Filosofía de la Ciencia
Grecy Pérez Amores,Antropología Social
Elisa Juana Pérez Rosales,Teoría e Historia de la Educación
José Antonio Ramos Arteaga,Literatura Española
Margarita Isabel Ramos Quintana,Derecho del Trabajo y de la Seguridad Social
Nereida María Rancel Rodríguez,Botánica
Elvira Carolina Real Torres,Filología Latina
Rodrigo Fidel Rodríguez Borges,Comunicación Audiovisual y Publicidad
Juan José Rodríguez Bravo de Laguna,Derecho del Trabajo y de la Seguridad Social
Sarai Rodríguez González,Derecho del Trabajo y de la Seguridad Social
Elena Rodríguez Naveiras,Metodología de las Ciencias del Comportamiento
Gloria Pilar Rojas Rivero,Derecho del Trabajo y de la Seguridad Social
María del Carmen Rubio Armendáriz,Toxicología
Casilda Álvarez Siverio,Filología Griega
